Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-708,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-18-3406-01,7903,16366,321,3029,11,138,379,2,7317,189,15,4,0,0,0,0,0,2
TCGA-18-3407-01,13099,55809,705,32106,117,67,112,3,50972,822,46,1,1,0,0,0,0,1
TCGA-18-3408-01,5242,22002,483,17351,69,142,123,8,21550,291,21,0,0,1,0,0,1,0
TCGA-18-3410-01,2262,20196,1689,44438,212,26,27,7,91264,178,38,0,0,1,0,0,14,0
TCGA-18-3411-01,1781,16776,1702,28316,97,148,65,8,35861,445,35,1,0,0,0,0,0,0
TCGA-18-3412-01,4488,8631,616,23986,66,98,131,8,37466,128,38,0,0,1,0,0,0,0
TCGA-18-3414-01,2472,19023,241,6256,27,254,61,2,13498,219,15,3,0,1,0,0,0,0
TCGA-18-3415-01,7323,21388,790,19627,39,2,42,9,18810,168,65,1,0,0,0,0,0,0
TCGA-18-3416-01,6514,37273,535,15813,100,115,182,17,25717,372,58,0,0,0,1,1,0,0
TCGA-18-3417-01,2636,15452,308,36794,52,38,143,3,55068,297,7,0,0,0,0,0,0,0
TCGA-18-3419-01,2872,9661,429,14997,34,15,26,30,14037,85,26,0,0,0,0,0,0,0
TCGA-18-3421-01,6184,16927,1490,33185,52,1110,150,29,26912,458,103,3,0,2,0,0,0,0
TCGA-18-4086-01,5639,19029,1098,25672,35,5,123,11,32816,268,10,0,0,0,0,1,1,0
TCGA-18-4721-01,3154,13525,1131,27778,21,28,183,18,28181,316,8,1,1,1,0,13,4,0
TCGA-18-5592-01,7300,48789,208,36435,83,0,77,5,44612,127,9,0,0,0,0,0,0,0
TCGA-18-5595-01,19487,24593,623,21052,44,154,182,6,27741,516,13,0,0,0,0,0,0,0
TCGA-21-1075-01,18371,29095,1242,107114,109,110,135,27,89167,431,8,0,0,32,0,0,2,0
TCGA-21-1076-01,2269,7300,378,25809,65,9,158,3,51130,1088,16,1,0,0,12,0,2,2
TCGA-21-1077-01,3577,15135,1176,34969,77,14,178,6,59332,725,26,0,3,77,0,0,0,1
TCGA-21-1078-01,6859,33027,236,26036,101,1,64,5,60812,192,17,0,0,0,0,0,0,0
TCGA-21-1079-01,5949,53544,675,22016,75,1218,341,8,61411,322,52,9,0,0,0,0,0,0
TCGA-21-1080-01,3052,34007,265,24655,47,47,229,4,35185,531,6,0,3,0,0,0,0,0
TCGA-21-1083-01,4827,27505,300,16316,48,7,107,10,27157,257,8,1,1,0,0,0,0,0
TCGA-21-5782-01,28487,89055,2926,86623,138,26,103,43,95124,1253,93,1,0,0,0,0,0,0
TCGA-21-5784-01,9395,75286,1235,21443,64,21,348,4,41121,3680,29,0,0,1,0,1,0,1
TCGA-21-5786-01,10502,73137,577,20203,30,122,18,19,25867,514,67,5,0,0,5,0,0,4
TCGA-21-5787-01,2774,401,89,21785,56,465,53,4,31704,7126,10,0,0,0,1,0,0,0
TCGA-21-A5DI-01,6837,109190,1852,67383,209,666,348,9,143144,1329,48,4,0,0,0,0,0,0
TCGA-22-0940-01,3498,21440,357,7301,22,137,69,1,18341,856,4,0,1,0,0,0,0,0
TCGA-22-1011-01,4339,13546,460,9108,13,51,67,4,18518,424,15,0,1,0,11,0,0,1
TCGA-22-1012-01,4339,16605,723,24166,39,18,21,3,24617,382,11,1,0,0,0,0,0,0
TCGA-22-4591-01,19860,32601,3945,78474,111,121,79,49,50641,620,55,8,0,0,0,0,0,0
TCGA-22-4594-01,3012,121,620,30669,114,13,37,9,68463,485,27,3,0,0,0,0,0,0
TCGA-22-4595-01,5245,12886,730,13643,7,91,28,15,12945,657,11,0,0,0,0,0,0,0
TCGA-22-4596-01,2796,852,463,52091,92,54,103,4,98969,1028,15,11,0,0,1,0,0,0
TCGA-22-4601-01,3816,16247,608,31228,45,8,33,13,48864,452,4,0,0,0,0,1,0,0
TCGA-22-4604-01,6406,25444,1243,20871,43,7,15,10,28883,207,18,3,0,9,0,0,0,0
TCGA-22-4607-01,3876,34221,750,62050,127,132,37,10,82723,585,25,2,0,0,0,0,0,0
TCGA-22-4613-01,4856,7064,661,43791,34,6,90,28,44646,200,6,0,0,0,0,0,0,0
TCGA-22-5471-01,3933,31111,1046,19912,57,7,45,5,32922,555,19,2,0,0,1,2,0,0
TCGA-22-5472-01,8435,33036,620,16978,92,190,73,2,44428,1715,16,0,0,0,0,1,0,0
TCGA-22-5473-01,7740,36775,614,54039,113,21,12,13,86704,487,20,2,0,0,1,5,1,0
TCGA-22-5474-01,5666,19442,1032,53329,90,47,67,11,87664,206,37,0,0,0,0,0,0,1
